" -F4097,S4098+F1,S2"," -F4097,S4098+F3,S4"," -F4097,S4098+F13,S14"," -F4097,S4098+F16,S17"," -F11,S10+F23,S24"," -F11,S10+F19,S18"," -F8,S9+F20,S21"," -F32,S31+F29,S30"," -F4100,S4101+F5,S6"
[475.28],[14.49],[559.89],[568.08],[322.72],[116.30],[1.25],[279.58],[11.55]
2.21,12.70,91.26,99.73,319.20,117.11,1.18,274.14,10.44
3.75,12.85,89.06,97.16,311.04,114.62,1.14,265.39,10.46
2.40,12.46,84.94,93.01,300.66,110.62,1.24,258.42,10.43
3.73,12.37,84.57,92.56,294.54,107.12,1.26,254.84,10.19
4.66,12.28,87.97,96.17,300.00,110.65,1.16,256.86,10.00
2.59,12.28,87.09,95.01,305.84,113.83,1.16,260.32,9.96
3.96,12.89,86.74,94.69,301.20,110.13,1.24,259.56,10.44
4.80,13.16,94.39,102.92,316.32,115.21,1.33,272.05,10.96
32.25,12.42,117.05,125.39,313.64,115.12,1.22,267.82,10.05
9032.00,10.81,9249.30,9428.20,309.22,113.40,1.15,264.86,7.65
640.44,12.59,723.43,731.72,310.29,113.89,1.24,266.08,10.20
6485.80,11.13,6541.90,6534.80,327.99,122.36,1.23,278.77,7.98
6.60,13.07,94.79,103.45,324.29,120.59,1.22,277.40,10.65
38.72,13.12,128.18,136.95,330.25,122.86,1.25,281.80,10.62
22.11,13.47,116.07,124.86,341.23,125.36,1.32,293.56,10.61
53.10,16.51,168.40,178.81,403.86,148.01,1.66,346.74,12.72
1.70,15.47,117.32,128.02,399.90,147.73,1.63,343.09,11.87
1.51,12.52,94.21,102.84,334.92,123.21,1.27,286.62,9.98
1.31,12.05,90.12,98.78,324.48,121.36,1.19,275.18,9.51
1.54,11.99,88.47,96.87,317.04,118.09,1.16,270.04,9.46
14.96,11.68,102.74,111.58,320.03,119.96,1.11,271.17,9.35
1.64,11.62,84.14,92.11,303.32,111.78,1.16,260.01,9.16
1.58,11.45,84.35,92.30,302.35,111.14,1.06,258.70,9.24
1.76,11.52,84.73,92.75,306.08,112.82,1.16,260.49,8.95
2.49,12.45,86.45,94.53,301.47,109.64,1.24,259.98,9.69
1.50,11.85,83.08,90.68,294.21,107.83,1.10,253.84,9.39
1.68,11.37,85.23,93.01,299.98,112.10,1.11,254.10,9.22
2.17,11.21,84.86,92.48,295.05,109.46,1.11,251.75,9.21
2.14,11.23,82.02,89.77,290.15,105.57,1.14,249.88,9.18
1.59,11.50,83.29,91.05,297.59,110.25,1.11,254.27,9.20
2.53,11.90,86.88,95.01,307.36,114.19,1.20,261.25,9.47
1.86,11.96,89.80,97.72,315.99,116.23,1.23,271.60,9.84
3.76,13.05,91.31,99.44,316.92,116.31,1.21,272.83,10.79
3.72,12.94,87.86,95.62,310.03,114.69,1.18,264.46,10.55
3.37,12.70,84.30,91.84,296.43,109.76,1.15,254.31,10.36
3.67,12.24,82.28,89.59,291.69,106.22,1.10,252.45,10.08
3.89,12.57,85.26,92.69,294.86,108.95,1.14,252.79,10.42
3.65,12.55,86.43,94.02,299.89,112.64,1.11,254.50,10.25
3.40,13.06,84.51,91.82,295.10,108.76,1.09,253.61,10.60
2.72,14.14,87.41,95.22,301.23,110.96,1.18,257.48,11.41
3.32,12.82,86.16,94.00,304.97,112.66,1.10,260.38,10.28
3.67,12.78,85.44,92.88,301.77,111.27,1.11,258.22,10.48
3.53,13.03,85.02,92.64,304.53,112.28,1.10,259.86,16.65
3.29,88.64,89.45,98.49,320.46,120.13,1.12,271.10,10.14
5.08,18.81,91.10,99.15,359.35,118.14,1.12,268.13,10.14
3.37,13.28,90.86,99.42,324.85,121.38,1.14,275.44,10.59
3.55,14.05,94.87,103.45,333.59,122.47,1.21,285.35,10.92
3.69,16.96,118.25,128.71,401.80,148.40,1.55,342.55,13.25
3.87,16.96,119.02,129.64,402.89,147.91,1.58,345.44,13.27
3.81,13.87,95.30,103.93,337.08,123.79,1.30,286.78,11.07
3.53,13.19,91.82,100.03,327.25,121.60,1.23,277.79,10.61
3.57,12.67,90.17,98.22,320.22,118.77,1.13,270.08,9.98
3.51,13.02,91.95,100.32,326.09,121.71,1.16,275.03,10.20
3.45,13.01,85.63,93.47,307.85,113.49,1.11,261.15,10.17
4.08,13.09,87.41,94.87,305.87,112.39,1.07,260.78,10.36
3.03,12.87,86.37,94.10,308.34,113.33,1.15,262.48,10.55
3.53,14.06,87.73,95.80,302.52,111.23,1.28,259.10,11.14
3.47,12.84,85.84,93.54,300.78,110.61,1.20,258.21,10.37
3.55,12.68,87.09,95.17,303.62,113.56,1.11,257.60,10.06
3.56,12.86,86.03,93.78,298.93,110.20,1.14,255.62,10.41
3.48,12.74,83.16,90.70,294.01,106.52,1.09,254.26,10.36
3.41,12.81,85.47,93.49,301.48,111.64,1.09,256.78,10.52
3.40,12.76,88.76,96.41,312.99,115.63,1.15,266.55,10.36
3.35,13.56,91.82,99.84,319.65,117.53,1.24,275.13,11.30
3.68,13.53,94.63,102.82,327.91,120.09,1.33,281.54,11.07
7.78,13.49,96.44,104.57,324.47,120.24,1.15,275.85,10.78
4.13,13.38,89.43,97.32,312.00,115.05,1.10,266.54,10.70
1331.10,11.65,1411.90,1418.40,303.54,109.82,1.21,262.00,8.02
4.24,13.02,89.83,98.38,309.81,114.69,1.15,263.43,10.58
3.92,12.92,91.39,99.26,316.61,118.72,1.16,267.47,10.31
4.01,13.39,88.71,96.87,310.69,114.45,1.22,266.06,10.70
5.62,14.15,96.15,104.17,317.46,117.66,1.20,270.58,11.35
5.41,13.50,91.71,99.60,318.92,117.56,1.18,270.09,10.80
4.43,13.16,90.20,98.11,314.72,116.12,1.16,267.88,10.50
4.04,13.32,88.95,97.08,317.28,116.79,1.14,269.54,10.31
399.14,13.09,489.17,497.94,334.80,125.03,1.17,283.57,10.41
3.95,13.70,92.88,101.22,328.17,121.78,1.17,279.19,10.59
6247.10,12.43,6316.80,6322.20,337.52,126.47,1.23,284.93,8.45
4.08,14.05,98.06,106.96,346.38,127.16,1.25,295.16,11.31
4.12,17.17,119.97,130.97,409.21,149.58,1.57,351.39,13.33
2.72,17.83,120.77,131.61,418.21,152.51,1.54,359.50,13.89
2.39,19.69,100.80,109.88,361.49,132.69,1.38,307.47,12.01
2.23,28.23,98.22,107.17,357.67,133.29,1.33,303.54,11.66
3.64,14.56,98.38,107.14,349.78,130.07,1.28,295.86,11.31
2.45,14.32,98.30,107.33,355.51,132.58,1.19,301.22,11.26
3.21,15.10,94.02,102.55,338.05,124.84,1.20,287.31,10.99
5.85,13.93,97.48,105.60,336.18,123.95,1.17,285.71,11.00
3.79,14.02,95.70,104.46,341.05,125.47,1.19,288.32,11.34
4.15,15.24,102.34,111.18,345.05,128.39,1.42,290.86,12.29
2.41,14.62,94.42,102.68,332.04,122.47,1.20,283.92,11.60
2.56,13.94,96.65,105.44,340.07,127.76,1.19,285.59,11.04
3.71,13.81,95.51,103.88,331.64,123.13,1.19,280.76,11.22
2.29,14.20,91.13,99.52,326.83,118.87,1.22,280.64,11.44
3.40,14.19,94.26,102.95,333.16,123.36,1.13,283.54,11.42
4.28,14.60,99.26,107.70,348.82,129.65,1.26,294.95,11.54
4.45,14.41,101.01,109.96,350.50,128.64,1.24,300.18,11.89
1.39,16.22,120.13,130.23,420.29,157.22,1.47,351.90,12.43
1.66,16.66,118.30,128.16,415.28,156.08,1.43,345.49,12.68
2.60,16.39,114.95,124.89,401.44,150.44,1.47,334.28,12.57
1.63,15.08,106.80,116.28,378.10,138.55,1.44,322.41,11.75
1.64,16.08,115.09,124.70,394.58,148.20,1.50,329.24,12.26
1.64,15.80,116.60,126.54,406.76,155.16,1.47,335.82,12.12
1.71,16.30,112.80,122.47,394.39,146.72,1.46,331.72,12.54
1.64,17.42,123.14,133.63,414.31,154.63,1.58,347.17,13.01
1.43,15.80,113.15,122.95,401.92,149.66,1.44,334.83,12.13
1.60,15.63,112.67,122.26,395.88,146.68,1.46,332.26,12.11
1.67,16.09,114.40,124.25,406.68,151.81,1.50,339.00,12.12
1.66,15.29,113.23,123.22,404.22,150.06,1.53,341.32,11.68
1.43,15.89,115.54,125.34,411.23,153.56,1.47,342.85,12.04
1.48,15.85,116.71,126.83,420.19,157.16,1.50,351.02,11.92
1.71,15.99,118.04,128.18,418.47,154.55,1.50,351.73,12.41
1.59,17.77,128.00,138.99,447.45,162.87,1.82,383.23,13.51
